step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
250002,10907,,66.00,19.00,30.75,72.7
500037,22034,,76.00,12.00,28.00,147.6
750032,33085,,84.00,28.00,42.00,222.0
1000023,43453,,90.00,38.00,51.00,296.9
1250027,52220,,78.00,29.00,41.25,374.1
1500015,60291,,90.00,30.00,45.00,452.1
1750025,69829,,72.00,21.00,33.75,528.3
2000012,79870,,66.00,29.00,38.25,604.0
2250004,90090,,68.00,25.00,35.75,826.9
2500013,102487,,68.00,16.00,29.00,1049.1
2750004,116568,,76.00,16.00,31.00,1270.1
3000001,131912,,66.00,11.00,24.75,1491.3
3250027,148178,,74.00,14.00,29.00,1712.0
3500004,166578,,80.00,18.00,33.50,1936.1
3750005,185993,,84.00,13.00,30.75,2158.6
4000008,206140,,74.00,14.00,29.00,2381.2
4250001,226736,,74.00,17.00,31.25,2602.7
4500001,247666,,80.00,20.00,35.00,2824.2
4750008,268669,,60.00,11.00,23.25,3044.0
5000011,290535,,58.00,15.00,25.75,3266.4
