step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
250000,0,,4.00,11.00,9.25,73.4
500000,0,,12.00,29.00,24.75,183.6
750000,0,,22.00,31.00,28.75,295.7
1000000,0,,72.00,56.00,60.00,409.9
1250000,0,,62.00,63.00,62.75,526.7
1500000,0,,52.00,58.00,56.50,646.1
1750000,0,,54.00,58.00,57.00,768.3
2000000,0,,60.00,53.00,54.75,893.2
2250000,0,,32.00,51.00,46.25,1021.0
2500000,0,,40.00,34.00,35.50,1151.6
2750000,0,,36.00,36.00,36.00,1286.0
3000000,0,,42.00,40.00,40.50,1422.9
3250000,0,,42.00,34.00,36.00,1561.6
3500000,0,,32.00,21.00,23.75,1703.0
3750000,0,,26.00,20.00,21.50,1848.1
4000000,0,,50.00,31.00,35.75,1994.8
4250000,0,,46.00,24.00,29.50,2140.8
4500000,0,,44.00,39.00,40.25,2289.7
4750000,0,,46.00,42.00,43.00,2435.1
5000000,0,,50.00,32.00,36.50,2581.4
