step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
250002,16412,,66.00,19.00,30.75,546.8
500001,32781,,78.00,20.00,34.50,1107.3
750032,48362,,76.00,16.00,31.00,1666.4
1000007,62414,,72.00,29.00,39.75,2219.8
1250008,75290,,80.00,26.00,39.50,2775.2
1500018,87537,,74.00,34.00,44.00,3328.8
1750029,98790,,72.00,21.00,33.75,3881.9
2000001,109166,,74.00,20.00,33.50,4436.6
2250010,119103,,88.00,30.00,44.50,5208.1
2500003,128796,,78.00,16.00,31.50,5989.7
2750021,138477,,80.00,24.00,38.00,6775.3
3000023,148344,,84.00,43.00,53.25,7565.1
3250010,158338,,76.00,23.00,36.25,8353.4
3500034,169089,,82.00,26.00,40.00,9147.0
3750006,179950,,80.00,24.00,38.00,9938.1
4000029,190952,,74.00,20.00,33.50,10733.3
4250031,201992,,74.00,36.00,45.50,11527.9
4500041,213152,,76.00,25.00,37.75,12329.4
4750001,224397,,68.00,18.00,30.50,13129.2
5000010,235695,,74.00,14.00,29.00,13936.2
