step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
250032,0,,64.00,8.00,22.00,25.0
500064,0,,16.00,6.00,8.50,49.6
750096,0,,6.00,9.00,8.25,74.0
1000128,0,,6.00,17.00,14.25,98.4
1250160,0,,6.00,18.00,15.00,122.9
1500192,0,,6.00,18.00,15.00,147.3
1750224,0,,2.00,24.00,18.50,171.7
2000256,0,,4.00,21.00,16.75,196.2
2250288,0,,22.00,29.00,27.25,221.3
2500320,0,,14.00,33.00,28.25,245.9
2750352,0,,12.00,28.00,24.00,270.3
3000384,0,,6.00,30.00,24.00,295.1
3250416,0,,28.00,30.00,29.50,319.6
3500448,0,,18.00,24.00,22.50,344.6
3750480,0,,10.00,27.00,22.75,369.3
4000512,0,,24.00,27.00,26.25,393.9
4250544,0,,12.00,28.00,24.00,418.7
4500576,0,,14.00,30.00,26.00,443.7
4750608,0,,10.00,28.00,23.50,468.3
5000640,0,,14.00,20.00,18.50,492.7
