step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500002,21943,,72.00,13.00,27.75,144.1
1000027,43822,,82.00,32.00,44.50,291.3
1500022,63580,,82.00,32.00,44.50,443.3
2000014,84505,,62.00,25.00,34.25,590.3
2500036,105938,,72.00,19.00,32.25,1029.1
3000001,128374,,74.00,17.00,31.25,1472.7
3500009,152151,,80.00,17.00,32.75,1916.1
4000000,176838,,58.00,17.00,27.25,2357.4
4500016,201433,,76.00,18.00,32.50,2800.0
5000019,225147,,82.00,19.00,34.75,3242.7
5500021,248790,,84.00,13.00,30.75,3686.7
6000040,271074,,88.00,19.00,36.25,4132.2
6500017,288185,,86.00,20.00,36.50,4588.2
7000015,307712,,70.00,19.00,31.75,5036.5
7500017,326990,,82.00,19.00,34.75,5488.0
8000001,346067,,68.00,12.00,26.00,5939.9
8500044,370672,,76.00,11.00,27.25,6382.6
9000022,397512,,74.00,18.00,32.00,6825.7
9500014,420684,,68.00,15.00,28.25,7274.3
10000012,440298,,78.00,12.00,28.50,7718.9
10500011,462950,,80.00,15.00,31.25,8165.2
11000012,488058,,68.00,12.00,26.00,8608.0
11500004,512725,,74.00,16.00,30.50,9052.7
12000028,538596,,74.00,20.00,33.50,9496.3
12500004,563584,,72.00,14.00,28.50,9942.4
13000025,587095,,84.00,18.00,34.50,10387.0
13500029,611062,,76.00,12.00,28.00,10834.3
14000010,629968,,80.00,13.00,29.75,11282.3
14500006,644393,,90.00,14.00,33.00,11730.0
15000031,660048,,76.00,16.00,31.00,12177.9
15500029,676274,,80.00,19.00,34.25,12629.0
16000021,690030,,66.00,7.00,21.75,13078.7
16500005,705346,,60.00,21.00,30.75,13526.8
17000018,722209,,86.00,17.00,34.25,13971.3
