step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,12.00,24.00,21.00,176.4
1000000,0,,68.00,30.00,39.50,385.2
1500000,0,,54.00,39.00,42.75,594.9
2000000,0,,72.00,39.00,47.25,804.1
2500000,0,,70.00,48.00,53.50,1012.3
3000000,0,,84.00,50.00,58.50,1220.6
3500000,0,,76.00,51.00,57.25,1430.2
4000000,0,,74.00,43.00,50.75,1642.0
4500000,0,,80.00,51.00,58.25,1852.9
5000000,0,,70.00,47.00,52.75,2061.6
5500000,0,,50.00,46.00,47.00,2270.9
6000000,0,,48.00,41.00,42.75,2480.3
6500000,0,,46.00,35.00,37.75,2690.1
7000000,0,,38.00,38.00,38.00,2901.7
7500000,0,,38.00,32.00,33.50,3110.7
8000000,0,,20.00,25.00,23.75,3319.2
8500000,0,,30.00,19.00,21.75,3528.5
9000000,0,,40.00,22.00,26.50,3743.8
9500000,0,,40.00,31.00,33.25,3953.9
10000000,0,,38.00,21.00,25.25,4164.9
10500000,0,,48.00,24.00,30.00,4381.5
11000000,0,,38.00,25.00,28.25,4593.2
11500000,0,,46.00,15.00,22.75,4802.8
12000000,0,,28.00,25.00,25.75,5014.6
12500000,0,,36.00,16.00,21.00,5226.1
13000000,0,,34.00,17.00,21.25,5436.5
13500000,0,,26.00,10.00,14.00,5647.7
14000000,0,,26.00,18.00,20.00,5858.1
14500000,0,,26.00,23.00,23.75,6068.0
15000000,0,,24.00,12.00,15.00,6277.6
15500000,0,,16.00,8.00,10.00,6489.4
16000000,0,,28.00,19.00,21.25,6700.5
16500000,0,,22.00,9.00,12.25,6911.6
17000000,0,,14.00,13.00,13.25,7122.5
17500000,0,,42.00,16.00,22.50,7332.9
18000000,0,,22.00,9.00,12.25,7547.2
18500000,0,,26.00,13.00,16.25,7758.3
19000000,0,,20.00,7.00,10.25,7969.6
19500000,0,,20.00,9.00,11.75,8180.2
20000000,0,,14.00,6.00,8.00,8390.1
20500000,0,,34.00,18.00,22.00,8601.3
21000000,0,,36.00,11.00,17.25,8812.8
21500000,0,,32.00,9.00,14.75,9027.3
22000000,0,,26.00,14.00,17.00,9240.8
22500000,0,,18.00,15.00,15.75,9452.7
23000000,0,,16.00,14.00,14.50,9666.0
23500000,0,,48.00,23.00,29.25,9877.2
24000000,0,,24.00,19.00,20.25,10088.9
24500000,0,,32.00,25.00,26.75,10303.3
25000000,0,,36.00,26.00,28.50,10516.3
25500000,0,,20.00,25.00,23.75,10727.5
26000000,0,,38.00,34.00,35.00,10941.1
26500000,0,,28.00,18.00,20.50,11152.1
27000000,0,,36.00,36.00,36.00,11363.6
27500000,0,,38.00,23.00,26.75,11575.3
28000000,0,,24.00,26.00,25.50,11787.2
28500000,0,,28.00,21.00,22.75,12001.4
29000000,0,,42.00,13.00,20.25,12216.7
29500000,0,,42.00,19.00,24.75,12428.8
30000000,0,,36.00,26.00,28.50,12642.3
30500000,0,,28.00,12.00,16.00,12856.9
31000000,0,,26.00,30.00,29.00,13067.7
31500000,0,,28.00,19.00,21.25,13279.4
32000000,0,,42.00,23.00,27.75,13490.6
32500000,0,,44.00,18.00,24.50,13702.7
33000000,0,,22.00,15.00,16.75,13915.6
33500000,0,,42.00,19.00,24.75,14129.9
34000000,0,,30.00,13.00,17.25,14342.6
