step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500016,0,,12.00,5.00,6.75,47.1
1000032,0,,18.00,26.00,24.00,92.8
1500048,0,,20.00,28.00,26.00,138.8
2000064,0,,12.00,32.00,27.00,184.4
2500080,0,,10.00,25.00,21.25,230.0
3000096,0,,14.00,24.00,21.50,275.3
3500112,0,,18.00,25.00,23.25,321.0
4000128,0,,18.00,19.00,18.75,367.5
4500144,0,,8.00,18.00,15.50,413.4
5000160,0,,10.00,20.00,17.50,458.8
5500176,0,,6.00,17.00,14.25,504.1
6000192,0,,8.00,10.00,9.50,550.0
6500208,0,,16.00,18.00,17.50,595.7
7000224,0,,18.00,21.00,20.25,641.9
7500240,0,,20.00,18.00,18.50,687.7
8000256,0,,10.00,17.00,15.25,733.9
8500272,0,,20.00,22.00,21.50,779.9
9000288,0,,22.00,23.00,22.75,825.6
9500304,0,,28.00,20.00,22.00,871.3
10000320,0,,22.00,15.00,16.75,916.3
10500336,0,,12.00,14.00,13.50,961.8
11000352,0,,48.00,17.00,24.75,1008.2
11500368,0,,46.00,25.00,30.25,1054.4
12000384,0,,40.00,13.00,19.75,1099.9
12500400,0,,26.00,23.00,23.75,1145.4
13000416,0,,38.00,21.00,25.25,1190.8
13500432,0,,40.00,33.00,34.75,1236.5
14000448,0,,40.00,19.00,24.25,1282.1
14500464,0,,34.00,22.00,25.00,1327.5
15000480,0,,48.00,14.00,22.50,1372.9
15500496,0,,36.00,32.00,33.00,1419.1
16000512,0,,38.00,29.00,31.25,1465.2
16500528,0,,40.00,25.00,28.75,1510.9
17000544,0,,32.00,17.00,20.75,1556.3
17500560,0,,22.00,24.00,23.50,1602.5
18000576,0,,34.00,18.00,22.00,1648.0
18500592,0,,34.00,20.00,23.50,1693.6
19000608,0,,38.00,25.00,28.25,1739.2
19500624,0,,38.00,23.00,26.75,1784.9
20000640,0,,34.00,18.00,22.00,1830.6
20500656,0,,44.00,18.00,24.50,1876.2
21000672,0,,26.00,23.00,23.75,1921.8
21500688,0,,48.00,23.00,29.25,1967.2
22000704,0,,38.00,19.00,23.75,2013.2
22500720,0,,28.00,10.00,14.50,2059.0
23000736,0,,42.00,24.00,28.50,2104.2
23500752,0,,30.00,17.00,20.25,2149.9
24000768,0,,34.00,16.00,20.50,2196.0
24500784,0,,34.00,30.00,31.00,2241.3
25000800,0,,48.00,18.00,25.50,2286.7
25500816,0,,50.00,21.00,28.25,2332.6
26000832,0,,36.00,19.00,23.25,2378.6
26500848,0,,50.00,23.00,29.75,2424.7
27000864,0,,40.00,27.00,30.25,2470.5
27500880,0,,54.00,18.00,27.00,2516.3
28000896,0,,58.00,23.00,31.75,2561.7
28500912,0,,40.00,17.00,22.75,2607.6
29000928,0,,44.00,25.00,29.75,2653.1
29500944,0,,54.00,18.00,27.00,2698.6
30000960,0,,46.00,25.00,30.25,2744.3
30500976,0,,52.00,12.00,22.00,2790.2
31000992,0,,58.00,28.00,35.50,2836.0
31501008,0,,44.00,28.00,32.00,2881.6
32001024,0,,42.00,19.00,24.75,2927.2
32501040,0,,38.00,21.00,25.25,2972.9
33001056,0,,50.00,15.00,23.75,3019.0
33501072,0,,48.00,18.00,25.50,3064.4
34001088,0,,58.00,32.00,38.50,3109.6
34501104,0,,36.00,21.00,24.75,3155.5
35001120,0,,40.00,23.00,27.25,3201.4
35501136,0,,30.00,20.00,22.50,3247.0
36001152,0,,40.00,25.00,28.75,3292.0
36501168,0,,50.00,21.00,28.25,3337.4
37001184,0,,50.00,28.00,33.50,3382.9
37501200,0,,36.00,25.00,27.75,3428.8
38001216,0,,38.00,21.00,25.25,3474.4
38501232,0,,36.00,21.00,24.75,3520.0
39001248,0,,46.00,16.00,23.50,3565.5
39501264,0,,34.00,26.00,28.00,3611.2
40001280,0,,36.00,24.00,27.00,3656.5
40501296,0,,42.00,24.00,28.50,3702.5
41001312,0,,42.00,20.00,25.50,3748.4
41501328,0,,44.00,21.00,26.75,3793.9
42001344,0,,34.00,26.00,28.00,3839.6
42501360,0,,42.00,34.00,36.00,3884.9
43001376,0,,54.00,23.00,30.75,3930.7
43501392,0,,46.00,21.00,27.25,3976.4
44001408,0,,38.00,23.00,26.75,4022.4
44501424,0,,32.00,24.00,26.00,4068.2
45001440,0,,44.00,26.00,30.50,4113.6
45501456,0,,44.00,26.00,30.50,4158.5
46001472,0,,44.00,24.00,29.00,4204.1
46501488,0,,44.00,27.00,31.25,4250.4
47001504,0,,34.00,21.00,24.25,4295.9
47501520,0,,44.00,23.00,28.25,4341.5
48001536,0,,58.00,25.00,33.25,4387.3
48501552,0,,48.00,18.00,25.50,4433.1
49001568,0,,42.00,28.00,31.50,4478.9
49501584,0,,36.00,22.00,25.50,4524.4
50001600,0,,52.00,30.00,35.50,4570.0
50501616,0,,48.00,26.00,31.50,4615.7
51001632,0,,38.00,25.00,28.25,4661.7
51501648,0,,40.00,23.00,27.25,4707.6
52001664,0,,38.00,22.00,26.00,4753.1
52501680,0,,30.00,35.00,33.75,4799.1
53001696,0,,40.00,22.00,26.50,4844.9
53501712,0,,48.00,32.00,36.00,4890.3
54001728,0,,48.00,25.00,30.75,4935.7
54501744,0,,32.00,23.00,25.25,4981.6
55001760,0,,30.00,20.00,22.50,5027.7
55501776,0,,52.00,24.00,31.00,5073.2
56001792,0,,46.00,29.00,33.25,5119.2
56501808,0,,42.00,23.00,27.75,5164.8
57001824,0,,42.00,24.00,28.50,5210.8
57501840,0,,34.00,20.00,23.50,5256.2
58001856,0,,38.00,24.00,27.50,5301.6
58501872,0,,34.00,15.00,19.75,5347.4
59001888,0,,42.00,20.00,25.50,5393.3
59501904,0,,58.00,25.00,33.25,5439.4
60001920,0,,48.00,28.00,33.00,5484.5
60501936,0,,24.00,23.00,23.25,5530.1
61001952,0,,52.00,14.00,23.50,5576.4
61501968,0,,42.00,23.00,27.75,5622.7
62001984,0,,46.00,20.00,26.50,5668.2
62502000,0,,48.00,21.00,27.75,5714.0
63002016,0,,36.00,25.00,27.75,5759.7
63502032,0,,50.00,25.00,31.25,5805.3
64002048,0,,42.00,21.00,26.25,5851.0
64502064,0,,40.00,20.00,25.00,5896.7
65002080,0,,50.00,33.00,37.25,5942.6
65502096,0,,38.00,23.00,26.75,5988.0
66002112,0,,50.00,22.00,29.00,6033.3
66502128,0,,50.00,29.00,34.25,6078.9
67002144,0,,44.00,18.00,24.50,6124.9
67502160,0,,44.00,35.00,37.25,6171.1
68002176,0,,48.00,32.00,36.00,6216.6
68502192,0,,54.00,22.00,30.00,6262.1
69002208,0,,42.00,23.00,27.75,6308.0
69502224,0,,44.00,22.00,27.50,6354.2
70002240,0,,32.00,23.00,25.25,6399.5
70502256,0,,28.00,33.00,31.75,6445.4
71002272,0,,38.00,18.00,23.00,6491.2
71502288,0,,44.00,25.00,29.75,6537.1
72002304,0,,50.00,22.00,29.00,6582.5
72502320,0,,42.00,24.00,28.50,6628.3
73002336,0,,50.00,17.00,25.25,6674.3
73502352,0,,56.00,26.00,33.50,6720.3
74002368,0,,54.00,29.00,35.25,6765.9
74502384,0,,50.00,21.00,28.25,6811.9
75002400,0,,38.00,24.00,27.50,6857.4
