step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500049,19511,,46.00,4.00,14.50,131.9
1000002,38819,,46.00,6.00,16.00,266.1
1500022,57819,,44.00,2.00,12.50,400.5
2000024,76845,,46.00,9.00,18.25,534.1
2500020,96189,,38.00,4.00,12.50,954.8
3000018,115912,,48.00,4.00,15.00,1376.8
3500030,136806,,38.00,1.00,10.25,1799.9
4000006,157628,,40.00,3.00,12.25,2222.9
4500007,178386,,46.00,3.00,13.75,2645.6
5000017,199335,,58.00,2.00,16.00,3068.9
5500011,220455,,52.00,6.00,17.50,3494.2
6000031,241508,,46.00,8.00,17.50,3921.3
6500015,261763,,42.00,6.00,15.00,4347.0
7000005,280889,,40.00,3.00,12.25,4770.4
7500018,300033,,56.00,5.00,17.75,5194.4
8000018,321346,,38.00,1.00,10.25,5619.6
8500003,340150,,22.00,1.00,6.25,6043.3
9000001,358032,,36.00,1.00,9.75,6462.2
9500001,380605,,40.00,4.00,13.00,6881.2
10000006,404268,,38.00,3.00,11.75,7300.8
10500005,428419,,34.00,5.00,12.25,7720.5
11000037,452530,,58.00,4.00,17.50,8140.4
11500010,472096,,52.00,3.00,15.25,8559.6
12000014,488574,,58.00,4.00,17.50,8977.4
12500000,507914,,66.00,9.00,23.25,9399.1
13000033,531615,,68.00,1.00,17.75,9823.5
13500014,556523,,56.00,3.00,16.25,10250.8
14000022,579839,,54.00,22.00,30.00,10671.2
14500018,596544,,64.00,4.00,19.00,11090.2
15000004,614527,,68.00,0.00,17.00,11509.3
15500004,638049,,70.00,1.00,18.25,11930.4
16000014,662351,,50.00,3.00,14.75,12351.1
16500008,689510,,66.00,0.00,16.50,12773.2
17000023,716798,,64.00,2.00,17.50,13195.2
17500001,743294,,60.00,1.00,15.75,13617.0
18000005,762493,,70.00,46.00,52.00,14037.8
18500007,783234,,60.00,3.00,17.25,14458.5
19000003,804192,,60.00,0.00,15.00,14884.2
19500022,821835,,76.00,0.00,19.00,15303.5
20000000,849982,,66.00,2.00,18.00,15726.8
20500013,878649,,74.00,0.00,18.50,16149.1
21000013,906806,,64.00,0.00,16.00,16572.4
21500023,935115,,82.00,0.00,20.50,17002.1
22000025,962399,,66.00,0.00,16.50,17429.1
22500018,991335,,58.00,0.00,14.50,17856.4
23000016,1018666,,74.00,0.00,18.50,18285.1
23500005,1042044,,74.00,0.00,18.50,18714.0
24000020,1069157,,58.00,1.00,15.25,19137.6
