step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,22.00,8.00,11.50,178.0
1000000,0,,42.00,7.00,15.75,394.4
1500000,0,,22.00,41.00,36.25,609.8
2000000,0,,60.00,28.00,36.00,825.9
2500000,0,,88.00,29.00,43.75,1045.4
3000000,0,,82.00,5.00,24.25,1266.9
3500000,0,,56.00,40.00,44.00,1489.6
4000000,0,,48.00,31.00,35.25,1714.4
4500000,0,,50.00,8.00,18.50,1944.4
5000000,0,,42.00,9.00,17.25,2175.0
5500000,0,,50.00,0.00,12.50,2407.6
6000000,0,,52.00,3.00,15.25,2642.7
6500000,0,,38.00,14.00,20.00,2879.3
7000000,0,,42.00,11.00,18.75,3117.9
7500000,0,,48.00,14.00,22.50,3360.6
8000000,0,,46.00,22.00,28.00,3605.4
8500000,0,,32.00,14.00,18.50,3852.3
9000000,0,,52.00,23.00,30.25,4101.6
9500000,0,,44.00,5.00,14.75,4352.4
10000000,0,,40.00,6.00,14.50,4606.7
10500000,0,,42.00,11.00,18.75,4861.7
11000000,0,,48.00,17.00,24.75,5117.2
11500000,0,,62.00,4.00,18.50,5375.9
12000000,0,,44.00,35.00,37.25,5640.2
12500000,0,,44.00,36.00,38.00,5903.7
13000000,0,,48.00,38.00,40.50,6169.5
13500000,0,,64.00,18.00,29.50,6437.8
14000000,0,,54.00,8.00,19.50,6711.4
14500000,0,,44.00,0.00,11.00,6983.5
15000000,0,,66.00,43.00,48.75,7260.4
15500000,0,,50.00,31.00,35.75,7538.1
16000000,0,,66.00,33.00,41.25,7816.1
16500000,0,,64.00,38.00,44.50,8099.1
17000000,0,,54.00,42.00,45.00,8382.5
17500000,0,,56.00,43.00,46.25,8669.8
18000000,0,,74.00,33.00,43.25,8960.4
18500000,0,,62.00,58.00,59.00,9253.2
19000000,0,,54.00,34.00,39.00,9546.4
19500000,0,,58.00,54.00,55.00,9840.2
20000000,0,,60.00,55.00,56.25,10131.9
20500000,0,,52.00,39.00,42.25,10426.6
21000000,0,,48.00,48.00,48.00,10719.6
21500000,0,,56.00,45.00,47.75,11015.2
22000000,0,,62.00,60.00,60.50,11307.5
22500000,0,,54.00,47.00,48.75,11599.9
23000000,0,,70.00,48.00,53.50,11894.1
23500000,0,,60.00,46.00,49.50,12188.6
24000000,0,,54.00,54.00,54.00,12480.9
