step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500001,34792,,44.00,1.00,11.75,823.0
1000019,63587,,68.00,11.00,25.25,1690.1
1500019,88348,,84.00,0.00,21.00,2579.1
2000000,109571,,70.00,2.00,19.00,3468.2
2500000,129659,,80.00,2.00,21.50,4778.7
3000034,149812,,78.00,7.00,24.75,6084.5
3500005,172537,,78.00,2.00,21.00,7394.5
4000001,195917,,70.00,4.00,20.50,8711.1
4500016,219713,,64.00,5.00,19.75,10039.8
5000009,243812,,74.00,5.00,22.25,11360.2
5500021,267240,,42.00,0.00,10.50,12683.2
6000015,289219,,58.00,4.00,17.50,14006.8
6500004,310021,,78.00,4.00,22.50,15334.6
7000013,330951,,64.00,7.00,21.25,16655.1
7500012,351951,,74.00,4.00,21.50,17983.4
8000028,372644,,72.00,0.00,18.00,19325.2
8500024,395416,,72.00,2.00,19.50,20671.9
9000014,418401,,44.00,7.00,16.25,22010.5
9500003,440375,,64.00,6.00,20.50,23354.0
10000007,461881,,64.00,2.00,17.50,24694.2
10500011,483509,,72.00,0.00,18.00,26040.4
11000020,505714,,64.00,3.00,18.25,27398.6
11500005,526958,,78.00,3.00,21.75,28749.5
12000027,546980,,66.00,2.00,18.00,30102.3
12500005,567075,,70.00,5.00,21.25,31453.0
13000014,586897,,78.00,48.00,55.50,32813.4
13500012,607600,,66.00,3.00,18.75,34171.5
14000015,628264,,66.00,5.00,20.25,35519.6
14500029,648134,,68.00,6.00,21.50,36871.7
15000004,668586,,66.00,6.00,21.00,38226.8
15500022,690897,,66.00,3.00,18.75,39582.3
16000016,713134,,76.00,5.00,22.75,40936.4
16500007,735461,,56.00,1.00,14.75,42285.9
17000001,758247,,68.00,1.00,17.75,43640.4
17500002,778588,,70.00,3.00,19.75,44999.1
18000019,798412,,78.00,3.00,21.75,46359.4
18500016,818483,,84.00,26.00,40.50,47725.1
19000020,838592,,60.00,5.00,18.75,49093.3
19500042,858411,,70.00,1.00,18.25,50463.1
20000007,878731,,74.00,1.00,19.25,51832.9
20500003,900507,,82.00,2.00,22.00,53210.8
21000009,922313,,66.00,8.00,22.50,54579.3
21500009,942081,,68.00,3.00,19.25,55934.1
22000023,962203,,60.00,2.00,16.50,57304.2
22500004,982904,,74.00,0.00,18.50,58675.3
23000000,1004632,,72.00,6.00,22.50,60044.9
23500021,1026704,,72.00,3.00,20.25,61420.7
24000026,1048911,,68.00,7.00,22.25,62791.1
