step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500016,0,,6.00,0.00,1.50,46.2
1000032,0,,16.00,0.00,4.00,92.0
1500048,0,,34.00,3.00,10.75,138.5
2000064,0,,20.00,3.00,7.25,184.1
2500080,0,,36.00,15.00,20.25,230.0
3000096,0,,28.00,29.00,28.75,276.1
3500112,0,,18.00,30.00,27.00,321.8
4000128,0,,16.00,27.00,24.25,367.9
4500144,0,,18.00,35.00,30.75,414.1
5000160,0,,18.00,3.00,6.75,459.7
5500176,0,,14.00,32.00,27.50,505.8
6000192,0,,16.00,2.00,5.50,551.9
6500208,0,,28.00,4.00,10.00,597.8
7000224,0,,22.00,28.00,26.50,644.2
7500240,0,,14.00,35.00,29.75,690.0
8000256,0,,16.00,34.00,29.50,736.5
8500272,0,,28.00,15.00,18.25,782.5
9000288,0,,6.00,0.00,1.50,828.6
9500304,0,,16.00,8.00,10.00,874.5
10000320,0,,32.00,7.00,13.25,920.3
10500336,0,,32.00,1.00,8.75,966.4
11000352,0,,22.00,0.00,5.50,1012.9
11500368,0,,12.00,1.00,3.75,1058.8
12000384,0,,32.00,1.00,8.75,1105.0
12500400,0,,34.00,7.00,13.75,1151.3
13000416,0,,26.00,3.00,8.75,1196.7
13500432,0,,26.00,2.00,8.00,1242.4
14000448,0,,48.00,5.00,15.75,1288.3
14500464,0,,26.00,3.00,8.75,1333.8
15000480,0,,12.00,3.00,5.25,1379.7
15500496,0,,32.00,0.00,8.00,1425.7
16000512,0,,20.00,0.00,5.00,1471.3
16500528,0,,22.00,0.00,5.50,1517.2
17000544,0,,44.00,0.00,11.00,1563.4
17500560,0,,26.00,3.00,8.75,1609.3
18000576,0,,18.00,3.00,6.75,1655.1
18500592,0,,30.00,3.00,9.75,1700.6
19000608,0,,38.00,5.00,13.25,1747.2
19500624,0,,58.00,0.00,14.50,1793.0
20000640,0,,46.00,1.00,12.25,1838.4
20500656,0,,54.00,10.00,21.00,1884.7
21000672,0,,74.00,22.00,35.00,1930.8
21500688,0,,52.00,6.00,17.50,1976.6
22000704,0,,36.00,1.00,9.75,2022.5
22500720,0,,44.00,3.00,13.25,2068.9
23000736,0,,56.00,6.00,18.50,2114.6
23500752,0,,56.00,0.00,14.00,2160.9
24000768,0,,46.00,0.00,11.50,2207.3
