step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500002,180898,,52.00,4.00,16.00,164.5
1000002,360088,,46.00,6.00,16.00,331.1
1500000,534998,,64.00,5.00,19.75,496.0
2000001,704400,,46.00,7.00,16.75,657.8
2500001,870113,,38.00,8.00,15.50,1141.5
3000002,1031734,,66.00,4.00,19.50,1625.3
3500001,1188790,,64.00,12.00,25.00,2107.9
4000000,1344775,,60.00,12.00,24.00,2591.3
4500002,1495596,,64.00,9.00,22.75,3073.2
5000001,1644686,,64.00,9.00,22.75,3552.1
5500001,1793453,,54.00,9.00,20.25,4029.6
6000001,1936673,,70.00,10.00,25.00,4505.9
6500000,2075008,,74.00,10.00,26.00,4981.1
7000000,2209497,,62.00,13.00,25.25,5439.5
7500000,2342976,,64.00,13.00,25.75,5898.9
8000002,2473240,,54.00,9.00,20.25,6359.5
8500002,2604351,,62.00,13.00,25.25,6827.6
9000001,2729059,,64.00,4.00,19.00,7288.3
9500002,2849560,,72.00,0.00,18.00,7745.4
10000001,2969136,,68.00,3.00,19.25,8203.5
10500000,3090039,,58.00,5.00,18.25,8662.3
11000002,3207750,,68.00,2.00,18.50,9117.6
11500000,3320306,,70.00,0.00,17.50,9576.8
12000000,3431158,,70.00,0.00,17.50,10031.5
