step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500024,19580,,40.00,5.00,13.75,135.6
1000001,39079,,56.00,4.00,17.00,270.2
1500030,59627,,46.00,2.00,13.00,404.7
2000004,80727,,44.00,5.00,14.75,538.4
2500004,101996,,48.00,10.00,19.50,967.7
3000013,124069,,38.00,9.00,16.25,1396.6
3500006,146873,,44.00,8.00,17.00,1825.3
4000009,170287,,38.00,3.00,11.75,2254.5
4500002,194881,,40.00,4.00,13.00,2685.0
5000023,219853,,60.00,4.00,18.00,3117.9
5500001,245626,,52.00,3.00,15.25,3553.1
6000003,273162,,54.00,6.00,18.00,3987.2
6500006,301705,,48.00,6.00,16.50,4420.4
7000034,331404,,40.00,5.00,13.75,4856.6
7500008,362242,,56.00,1.00,14.75,5297.3
8000025,393345,,58.00,1.00,15.25,5732.8
8500006,423573,,50.00,6.00,17.00,6165.2
9000014,451339,,62.00,2.00,17.00,6598.1
9500011,481339,,46.00,2.00,13.00,7031.2
10000003,508807,,74.00,5.00,22.25,7469.7
10500009,535248,,24.00,0.00,6.00,7905.0
11000007,561162,,74.00,3.00,20.75,8338.4
11500006,591287,,72.00,0.00,18.00,8771.7
12000012,621143,,48.00,4.00,15.00,9206.9
