step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,80.00,0.00,20.00,178.9
1000000,0,,86.00,35.00,47.75,395.6
1500000,0,,82.00,87.00,85.75,617.7
2000000,0,,84.00,81.00,81.75,845.0
2500000,0,,80.00,61.00,65.75,1076.6
3000000,0,,92.00,80.00,83.00,1310.8
3500000,0,,84.00,82.00,82.50,1550.1
4000000,0,,88.00,80.00,82.00,1792.1
4500000,0,,88.00,70.00,74.50,2038.8
5000000,0,,88.00,72.00,76.00,2290.5
5500000,0,,84.00,56.00,63.00,2546.7
6000000,0,,92.00,52.00,62.00,2810.1
6500000,0,,86.00,54.00,62.00,3076.1
7000000,0,,90.00,71.00,75.75,3347.0
7500000,0,,86.00,85.00,85.25,3619.8
8000000,0,,86.00,73.00,76.25,3897.0
8500000,0,,82.00,84.00,83.50,4179.5
9000000,0,,90.00,85.00,86.25,4468.5
9500000,0,,84.00,71.00,74.25,4762.0
10000000,0,,86.00,83.00,83.75,5056.0
10500000,0,,90.00,83.00,84.75,5349.7
11000000,0,,84.00,71.00,74.25,5645.7
11500000,0,,86.00,71.00,74.75,5940.6
12000000,0,,86.00,62.00,68.00,6235.2
