step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,46.00,19.00,25.75,216.0
1000000,0,,74.00,50.00,56.00,442.2
1500000,0,,78.00,20.00,34.50,675.6
2000000,0,,68.00,31.00,40.25,915.3
2500000,0,,70.00,19.00,31.75,1159.2
3000000,0,,40.00,9.00,16.75,1407.1
3500000,0,,34.00,16.00,20.50,1661.5
4000000,0,,28.00,21.00,22.75,1920.0
4500000,0,,32.00,2.00,9.50,2182.9
5000000,0,,24.00,3.00,8.25,2450.0
5500000,0,,26.00,26.00,26.00,2724.7
6000000,0,,34.00,10.00,16.00,3001.0
6500000,0,,48.00,31.00,35.25,3281.6
7000000,0,,48.00,6.00,16.50,3567.7
7500000,0,,52.00,1.00,13.75,3855.4
8000000,0,,44.00,9.00,17.75,4149.5
8500000,0,,58.00,1.00,15.25,4449.8
9000000,0,,54.00,21.00,29.25,4751.9
9500000,0,,52.00,41.00,43.75,5060.1
10000000,0,,58.00,8.00,20.50,5369.4
10500000,0,,48.00,27.00,32.25,5678.6
11000000,0,,70.00,27.00,37.75,5985.1
11500000,0,,52.00,32.00,37.00,6294.7
12000000,0,,64.00,34.00,41.50,6603.6
