step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500001,141686,,76.00,6.00,23.50,838.2
1000000,269253,,78.00,6.00,24.00,1731.3
1500000,398898,,76.00,7.00,24.25,2642.3
2000003,528331,,78.00,1.00,20.25,3550.2
2500001,652665,,66.00,0.00,16.50,4898.4
3000000,776162,,76.00,1.00,19.75,6251.2
3500002,899695,,70.00,2.00,19.00,7608.1
4000000,1022714,,70.00,3.00,19.75,8954.6
4500001,1147170,,58.00,1.00,15.25,10340.8
5000000,1272583,,82.00,3.00,22.75,11706.0
5500003,1397522,,70.00,6.00,22.00,13083.0
6000000,1520704,,66.00,3.00,18.75,14456.8
6500002,1644356,,82.00,9.00,27.25,15832.8
7000005,1767114,,80.00,6.00,24.50,17224.5
7500000,1890750,,74.00,4.00,21.50,18602.7
8000006,2013337,,78.00,5.00,23.25,19984.4
8500001,2135479,,86.00,0.00,21.50,21380.6
9000000,2257353,,82.00,5.00,24.25,22776.8
9500002,2379424,,76.00,0.00,19.00,24174.7
10000001,2501234,,82.00,2.00,22.00,25579.0
10500005,2622892,,70.00,2.00,19.00,26980.0
11000002,2745047,,86.00,3.00,23.75,28389.1
11500005,2865384,,76.00,4.00,22.00,29789.6
12000006,2985535,,72.00,1.00,18.75,31189.1
