step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500001,31690,,38.00,3.00,11.75,872.6
1000005,60623,,90.00,11.00,30.75,1749.3
1500006,85030,,72.00,10.00,25.50,2641.1
2000003,108781,,76.00,10.00,26.50,3540.4
2500004,131981,,78.00,54.00,60.00,4869.0
3000026,152835,,64.00,21.00,31.75,6186.5
3500025,174867,,50.00,0.00,12.50,7515.9
4000010,197709,,70.00,7.00,22.75,8846.8
4500016,220522,,66.00,0.00,16.50,10180.9
5000017,244293,,60.00,11.00,23.25,11514.5
5500001,268650,,60.00,1.00,15.75,12854.2
6000006,292916,,62.00,8.00,21.50,14192.4
6500002,318429,,62.00,9.00,22.25,15528.6
7000003,344616,,58.00,12.00,23.50,16872.1
7500005,370401,,68.00,0.00,17.00,18216.4
8000012,396598,,52.00,6.00,17.50,19558.3
8500000,422069,,58.00,0.00,14.50,20912.1
9000002,448615,,56.00,11.00,22.25,22271.9
9500028,474841,,60.00,7.00,20.25,23628.1
10000001,500758,,66.00,6.00,21.00,24987.2
10500018,524143,,60.00,6.00,19.50,26355.5
11000002,548918,,66.00,9.00,23.25,27728.2
11500014,574734,,62.00,6.00,20.00,29098.4
12000010,600803,,64.00,5.00,19.75,30463.2
