step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500016,0,,80.00,79.00,79.25,45.4
1000032,0,,82.00,86.00,85.00,91.0
1500048,0,,90.00,82.00,84.00,135.8
2000064,0,,90.00,78.00,81.00,181.3
2500080,0,,84.00,80.00,81.00,227.0
3000096,0,,86.00,80.00,81.50,272.4
3500112,0,,90.00,77.00,80.25,317.6
4000128,0,,94.00,83.00,85.75,363.0
4500144,0,,86.00,77.00,79.25,408.3
5000160,0,,86.00,58.00,65.00,453.8
5500176,0,,86.00,55.00,62.75,499.4
6000192,0,,82.00,75.00,76.75,544.7
6500208,0,,88.00,87.00,87.25,589.6
7000224,0,,78.00,69.00,71.25,635.1
7500240,0,,88.00,79.00,81.25,680.5
8000256,0,,84.00,84.00,84.00,726.1
8500272,0,,92.00,67.00,73.25,771.1
9000288,0,,80.00,79.00,79.25,816.3
9500304,0,,92.00,80.00,83.00,861.4
10000320,0,,84.00,79.00,80.25,906.6
10500336,0,,96.00,82.00,85.50,952.1
11000352,0,,88.00,82.00,83.50,997.6
11500368,0,,88.00,70.00,74.50,1042.6
12000384,0,,84.00,85.00,84.75,1087.9
