step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500016,0,,90.00,70.00,75.00,45.0
1000032,0,,82.00,67.00,70.75,90.3
1500048,0,,70.00,30.00,40.00,136.2
2000064,0,,96.00,10.00,31.50,182.1
2500080,0,,92.00,1.00,23.75,228.5
3000096,0,,86.00,0.00,21.50,275.6
3500112,0,,30.00,39.00,36.75,322.7
4000128,0,,24.00,8.00,12.00,369.4
4500144,0,,18.00,6.00,9.00,412.9
5000160,0,,28.00,4.00,10.00,458.6
5500176,0,,22.00,6.00,10.00,505.3
6000192,0,,24.00,1.00,6.75,551.7
6500208,0,,20.00,0.00,5.00,598.0
7000224,0,,28.00,2.00,8.50,644.2
7500240,0,,18.00,0.00,4.50,690.3
8000256,0,,28.00,0.00,7.00,736.5
8500272,0,,26.00,0.00,6.50,782.7
9000288,0,,22.00,6.00,10.00,828.7
9500304,0,,20.00,0.00,5.00,874.5
10000320,0,,10.00,2.00,4.00,921.7
10500336,0,,14.00,3.00,5.75,968.2
11000352,0,,22.00,0.00,5.50,1014.5
11500368,0,,22.00,0.00,5.50,1059.9
12000384,0,,28.00,1.00,7.75,1106.0
