step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,10.00,1.00,3.25,245.1
1000000,0,,62.00,9.00,22.25,546.0
1500000,0,,72.00,9.00,24.75,849.7
2000000,0,,28.00,7.00,12.25,1158.2
2500000,0,,16.00,30.00,26.50,1469.2
3000000,0,,24.00,16.00,18.00,1788.1
3500000,0,,18.00,10.00,12.00,2112.0
4000000,0,,18.00,2.00,6.00,2442.1
4500000,0,,24.00,5.00,9.75,2774.2
5000000,0,,18.00,8.00,10.50,3114.2
5500000,0,,14.00,6.00,8.00,3458.5
6000000,0,,24.00,6.00,10.50,3814.7
6500000,0,,26.00,19.00,20.75,4172.9
7000000,0,,24.00,15.00,17.25,4540.9
7500000,0,,24.00,11.00,14.25,4910.4
8000000,0,,30.00,10.00,15.00,5282.4
8500000,0,,36.00,24.00,27.00,5663.3
9000000,0,,40.00,33.00,34.75,6046.3
9500000,0,,34.00,25.00,27.25,6432.3
10000000,0,,34.00,3.00,10.75,6823.9
10500000,0,,56.00,15.00,25.25,7217.7
11000000,0,,32.00,26.00,27.50,7618.4
11500000,0,,36.00,18.00,22.50,8024.3
12000000,0,,28.00,13.00,16.75,8432.4
12500000,0,,44.00,15.00,22.25,8845.8
13000000,0,,50.00,23.00,29.75,9262.9
13500000,0,,54.00,34.00,39.00,9682.4
14000000,0,,60.00,41.00,45.75,10106.9
14500000,0,,54.00,28.00,34.50,10534.8
15000000,0,,56.00,76.00,71.00,10965.1
15500000,0,,54.00,65.00,62.25,11396.5
16000000,0,,60.00,46.00,49.50,11831.1
16500000,0,,50.00,41.00,43.25,12269.5
17000000,0,,58.00,39.00,43.75,12715.0
17500000,0,,62.00,61.00,61.25,13165.1
18000000,0,,54.00,63.00,60.75,13617.8
18500000,0,,60.00,49.00,51.75,14072.9
19000000,0,,74.00,52.00,57.50,14534.3
19500000,0,,50.00,29.00,34.25,14997.9
20000000,0,,74.00,45.00,52.25,15460.9
20500000,0,,58.00,46.00,49.00,15925.5
21000000,0,,60.00,58.00,58.50,16389.6
21500000,0,,78.00,40.00,49.50,16855.3
22000000,0,,64.00,66.00,65.50,17320.6
22500000,0,,68.00,36.00,44.00,17784.1
23000000,0,,58.00,56.00,56.50,18249.0
23500000,0,,66.00,43.00,48.75,18711.2
24000000,0,,68.00,49.00,53.75,19174.6
