step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,78.00,90.00,87.00,246.1
1000000,0,,82.00,64.00,68.50,551.6
1500000,0,,86.00,0.00,21.50,866.6
2000000,0,,82.00,51.00,58.75,1194.5
2500000,0,,86.00,82.00,83.00,1537.7
3000000,0,,90.00,56.00,64.50,1894.4
3500000,0,,80.00,69.00,71.75,2261.0
4000000,0,,78.00,58.00,63.00,2637.8
4500000,0,,88.00,55.00,63.25,3019.4
5000000,0,,82.00,54.00,61.00,3412.6
5500000,0,,86.00,73.00,76.25,3811.5
6000000,0,,76.00,77.00,76.75,4219.1
6500000,0,,76.00,75.00,75.25,4635.8
7000000,0,,90.00,55.00,63.75,5060.7
7500000,0,,92.00,60.00,68.00,5492.1
8000000,0,,92.00,47.00,58.25,5931.4
8500000,0,,82.00,63.00,67.75,6380.9
9000000,0,,78.00,66.00,69.00,6837.6
9500000,0,,84.00,69.00,72.75,7297.8
10000000,0,,74.00,74.00,74.00,7767.2
10500000,0,,92.00,50.00,60.50,8235.9
11000000,0,,86.00,54.00,62.00,8703.7
11500000,0,,82.00,73.00,75.25,9173.1
12000000,0,,88.00,69.00,73.75,9639.6
