step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,48.00,0.00,12.00,315.2
1000000,0,,64.00,13.00,25.75,648.9
1500000,0,,68.00,29.00,38.75,997.8
2000000,0,,72.00,11.00,26.25,1360.7
2500000,0,,42.00,14.00,21.00,1732.8
3000000,0,,32.00,3.00,10.25,2116.1
3500000,0,,20.00,19.00,19.25,2507.7
4000000,0,,34.00,11.00,16.75,2907.1
4500000,0,,48.00,11.00,20.25,3315.1
5000000,0,,32.00,6.00,12.50,3731.9
5500000,0,,46.00,12.00,20.50,4155.2
6000000,0,,48.00,12.00,21.00,4587.4
6500000,0,,34.00,4.00,11.50,5026.8
7000000,0,,66.00,0.00,16.50,5473.9
7500000,0,,66.00,3.00,18.75,5929.0
8000000,0,,58.00,22.00,31.00,6392.6
8500000,0,,56.00,20.00,29.00,6863.9
9000000,0,,56.00,53.00,53.75,7343.0
9500000,0,,60.00,55.00,56.25,7831.6
10000000,0,,60.00,27.00,35.25,8324.1
10500000,0,,70.00,37.00,45.25,8815.1
11000000,0,,54.00,24.00,31.50,9305.2
11500000,0,,74.00,12.00,27.50,9796.0
12000000,0,,70.00,14.00,28.00,10288.4
