step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,88.00,70.00,74.50,253.9
1000000,0,,62.00,72.00,69.50,572.3
1500000,0,,92.00,77.00,80.75,894.6
2000000,0,,80.00,72.00,74.00,1223.4
2500000,0,,80.00,78.00,78.50,1552.9
3000000,0,,86.00,70.00,74.00,1889.5
3500000,0,,92.00,71.00,76.25,2230.1
4000000,0,,80.00,69.00,71.75,2580.0
4500000,0,,76.00,48.00,55.00,2935.1
5000000,0,,86.00,66.00,71.00,3293.5
5500000,0,,86.00,79.00,80.75,3662.9
6000000,0,,88.00,62.00,68.50,4036.4
6500000,0,,92.00,45.00,56.75,4412.9
7000000,0,,90.00,53.00,62.25,4794.3
7500000,0,,84.00,60.00,66.00,5180.4
8000000,0,,90.00,45.00,56.25,5570.4
8500000,0,,84.00,70.00,73.50,5963.2
9000000,0,,82.00,77.00,78.25,6358.7
9500000,0,,76.00,68.00,70.00,6760.5
10000000,0,,82.00,50.00,58.00,7163.5
10500000,0,,86.00,65.00,70.25,7570.2
11000000,0,,74.00,62.00,65.00,7982.5
11500000,0,,92.00,80.00,83.00,8401.5
12000000,0,,86.00,62.00,68.00,8828.6
12500000,0,,78.00,74.00,75.00,9250.6
13000000,0,,94.00,61.00,69.25,9677.8
13500000,0,,82.00,80.00,80.50,10109.2
14000000,0,,76.00,69.00,70.75,10551.1
14500000,0,,82.00,17.00,33.25,10997.1
15000000,0,,82.00,63.00,67.75,11439.5
15500000,0,,86.00,80.00,81.50,11883.5
16000000,0,,92.00,79.00,82.25,12331.8
16500000,0,,84.00,90.00,88.50,12784.8
17000000,0,,86.00,77.00,79.25,13239.6
17500000,0,,92.00,62.00,69.50,13700.4
18000000,0,,86.00,75.00,77.75,14164.1
18500000,0,,84.00,79.00,80.25,14629.4
19000000,0,,74.00,79.00,77.75,15098.5
19500000,0,,76.00,92.00,88.00,15572.6
20000000,0,,86.00,77.00,79.25,16048.7
20500000,0,,78.00,76.00,76.50,16524.9
21000000,0,,90.00,80.00,82.50,17000.5
21500000,0,,80.00,84.00,83.00,17474.6
22000000,0,,92.00,75.00,79.25,17952.0
22500000,0,,84.00,74.00,76.50,18427.5
23000000,0,,80.00,84.00,83.00,18904.4
23500000,0,,82.00,82.00,82.00,19382.1
24000000,0,,80.00,74.00,75.50,19858.2
