step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,82.00,56.00,62.50,225.0
1000000,0,,80.00,83.00,82.25,500.2
1500000,0,,84.00,80.00,81.00,780.8
2000000,0,,82.00,68.00,71.50,1065.3
2500000,0,,90.00,84.00,85.50,1355.3
3000000,0,,78.00,79.00,78.75,1647.7
3500000,0,,82.00,81.00,81.25,1944.2
4000000,0,,90.00,87.00,87.75,2242.0
4500000,0,,86.00,68.00,72.50,2545.0
5000000,0,,94.00,76.00,80.50,2856.3
5500000,0,,90.00,79.00,81.75,3172.4
6000000,0,,90.00,77.00,80.25,3493.9
6500000,0,,86.00,75.00,77.75,3815.5
7000000,0,,82.00,77.00,78.25,4148.6
7500000,0,,88.00,72.00,76.00,4487.8
8000000,0,,88.00,71.00,75.25,4826.9
8500000,0,,82.00,83.00,82.75,5171.0
9000000,0,,82.00,63.00,67.75,5519.5
9500000,0,,90.00,83.00,84.75,5868.8
10000000,0,,82.00,77.00,78.25,6223.3
10500000,0,,88.00,55.00,63.25,6588.1
11000000,0,,86.00,62.00,68.00,6955.9
11500000,0,,86.00,67.00,71.75,7325.0
12000000,0,,84.00,74.00,76.50,7697.6
12500000,0,,94.00,75.00,79.75,8076.0
13000000,0,,86.00,15.00,32.75,8460.6
13500000,0,,82.00,85.00,84.25,8845.2
14000000,0,,96.00,82.00,85.50,9236.6
14500000,0,,86.00,77.00,79.25,9634.4
15000000,0,,82.00,72.00,74.50,10033.9
15500000,0,,80.00,80.00,80.00,10435.5
16000000,0,,80.00,78.00,78.50,10839.3
16500000,0,,78.00,81.00,80.25,11246.5
17000000,0,,82.00,81.00,81.25,11659.5
17500000,0,,88.00,76.00,79.00,12081.9
18000000,0,,88.00,77.00,79.75,12510.3
18500000,0,,82.00,80.00,80.50,12942.7
19000000,0,,84.00,81.00,81.75,13377.7
19500000,0,,84.00,81.00,81.75,13814.5
20000000,0,,86.00,90.00,89.00,14252.9
20500000,0,,88.00,76.00,79.00,14688.6
21000000,0,,78.00,74.00,75.00,15121.7
21500000,0,,80.00,86.00,84.50,15555.7
22000000,0,,80.00,78.00,78.50,15987.4
22500000,0,,78.00,81.00,80.25,16419.1
23000000,0,,92.00,91.00,91.25,16851.7
23500000,0,,88.00,76.00,79.00,17286.7
24000000,0,,82.00,78.00,79.00,17725.9
