step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,86.00,81.00,82.25,175.6
1000000,0,,74.00,70.00,71.00,386.8
1500000,0,,86.00,71.00,74.75,601.1
2000000,0,,82.00,65.00,69.25,817.9
2500000,0,,92.00,69.00,74.75,1038.6
3000000,0,,92.00,0.00,23.00,1260.5
3500000,0,,84.00,10.00,28.50,1486.8
4000000,0,,82.00,58.00,64.00,1713.9
4500000,0,,90.00,69.00,74.25,1943.4
5000000,0,,62.00,55.00,56.75,2175.4
5500000,0,,92.00,54.00,63.50,2407.4
6000000,0,,74.00,55.00,59.75,2642.2
6500000,0,,76.00,52.00,58.00,2878.9
7000000,0,,92.00,54.00,63.50,3118.4
7500000,0,,82.00,53.00,60.25,3360.9
8000000,0,,80.00,55.00,61.25,3604.4
8500000,0,,90.00,49.00,59.25,3849.2
9000000,0,,92.00,48.00,59.00,4098.1
9500000,0,,86.00,55.00,62.75,4351.5
10000000,0,,88.00,49.00,58.75,4603.4
10500000,0,,84.00,54.00,61.50,4859.8
11000000,0,,90.00,60.00,67.50,5119.1
11500000,0,,88.00,60.00,67.00,5376.6
12000000,0,,84.00,13.00,30.75,5638.4
12500000,0,,88.00,60.00,67.00,5901.7
13000000,0,,82.00,53.00,60.25,6168.2
13500000,0,,88.00,56.00,64.00,6437.8
14000000,0,,84.00,65.00,69.75,6708.8
14500000,0,,94.00,60.00,68.50,6982.0
15000000,0,,88.00,67.00,72.25,7255.0
15500000,0,,86.00,0.00,21.50,7531.3
16000000,0,,88.00,85.00,85.75,7809.5
16500000,0,,82.00,12.00,29.50,8089.6
17000000,0,,92.00,74.00,78.50,8372.2
17500000,0,,90.00,66.00,72.00,8658.7
18000000,0,,84.00,67.00,71.25,8946.1
18500000,0,,90.00,8.00,28.50,9237.7
19000000,0,,86.00,7.00,26.75,9529.0
19500000,0,,80.00,0.00,20.00,9822.4
20000000,0,,84.00,63.00,68.25,10115.1
20500000,0,,66.00,72.00,70.50,10407.3
21000000,0,,84.00,72.00,75.00,10698.8
21500000,0,,84.00,74.00,76.50,10990.8
22000000,0,,86.00,73.00,76.25,11284.8
22500000,0,,82.00,63.00,67.75,11577.1
23000000,0,,84.00,70.00,73.50,11870.0
23500000,0,,90.00,31.00,45.75,12163.3
24000000,0,,86.00,80.00,81.50,12455.3
