step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,84.00,79.00,80.25,245.1
1000000,0,,68.00,5.00,20.75,546.0
1500000,0,,76.00,4.00,22.00,851.7
2000000,0,,88.00,75.00,78.25,1164.1
2500000,0,,82.00,0.00,20.50,1483.3
3000000,0,,80.00,56.00,62.00,1803.4
3500000,0,,82.00,63.00,67.75,2130.2
4000000,0,,82.00,59.00,64.75,2468.3
4500000,0,,68.00,52.00,56.00,2810.1
5000000,0,,82.00,77.00,78.25,3157.8
5500000,0,,86.00,41.00,52.25,3514.1
6000000,0,,78.00,49.00,56.25,3881.9
6500000,0,,92.00,57.00,65.75,4246.6
7000000,0,,88.00,60.00,67.00,4622.5
7500000,0,,84.00,53.00,60.75,5001.1
8000000,0,,88.00,59.00,66.25,5398.0
8500000,0,,82.00,51.00,58.75,5803.3
9000000,0,,86.00,49.00,58.25,6207.3
9500000,0,,94.00,61.00,69.25,6613.1
10000000,0,,84.00,47.00,56.25,7014.0
10500000,0,,82.00,81.00,81.25,7419.9
11000000,0,,64.00,73.00,70.75,7826.6
11500000,0,,84.00,55.00,62.25,8243.0
12000000,0,,88.00,54.00,62.50,8663.3
12500000,0,,86.00,66.00,71.00,9079.4
13000000,0,,92.00,73.00,77.75,9507.0
