step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,38.00,0.00,9.50,52.3
1000000,0,,24.00,11.00,14.25,103.3
1500000,0,,16.00,0.00,4.00,154.6
2000000,0,,22.00,0.00,5.50,205.7
2500000,0,,12.00,3.00,5.25,256.9
3000000,0,,24.00,6.00,10.50,307.7
3500000,0,,8.00,3.00,4.25,358.9
4000000,0,,30.00,9.00,14.25,409.6
4500000,0,,10.00,1.00,3.25,460.4
5000000,0,,14.00,0.00,3.50,511.3
5500000,0,,30.00,13.00,17.25,562.8
6000000,0,,32.00,2.00,9.50,614.1
6500000,0,,32.00,1.00,8.75,665.1
7000000,0,,24.00,8.00,12.00,716.3
7500000,0,,32.00,6.00,12.50,767.6
8000000,0,,20.00,1.00,5.75,818.8
8500000,0,,14.00,0.00,3.50,870.1
9000000,0,,32.00,17.00,20.75,921.3
9500000,0,,40.00,3.00,12.25,972.6
10000000,0,,16.00,6.00,8.50,1023.7
10500000,0,,26.00,0.00,6.50,1075.0
11000000,0,,46.00,2.00,13.00,1126.8
11500000,0,,40.00,3.00,12.25,1178.6
12000000,0,,68.00,19.00,31.25,1230.0
12500000,0,,40.00,0.00,10.00,1281.8
13000000,0,,48.00,5.00,15.75,1333.4
13500000,0,,40.00,9.00,16.75,1385.1
14000000,0,,38.00,5.00,13.25,1436.6
14500000,0,,38.00,3.00,11.75,1488.1
15000000,0,,60.00,15.00,26.25,1539.7
15500000,0,,44.00,5.00,14.75,1590.7
16000000,0,,68.00,6.00,21.50,1642.3
16500000,0,,64.00,13.00,25.75,1693.8
17000000,0,,44.00,8.00,17.00,1745.3
17500000,0,,54.00,10.00,21.00,1797.1
18000000,0,,52.00,5.00,16.75,1848.8
18500000,0,,54.00,7.00,18.75,1900.7
19000000,0,,38.00,2.00,11.00,1952.7
19500000,0,,46.00,1.00,12.25,2004.0
20000000,0,,58.00,11.00,22.75,2056.0
20500000,0,,48.00,7.00,17.25,2107.9
21000000,0,,34.00,32.00,32.50,2159.1
21500000,0,,42.00,1.00,11.25,2210.6
22000000,0,,48.00,7.00,17.25,2262.1
22500000,0,,42.00,23.00,27.75,2313.8
23000000,0,,58.00,8.00,20.50,2365.9
23500000,0,,52.00,1.00,13.75,2417.9
24000000,0,,34.00,2.00,10.00,2469.3
