step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,80.00,80.00,80.00,51.0
1000000,0,,80.00,85.00,83.75,101.8
1500000,0,,88.00,85.00,85.75,153.3
2000000,0,,86.00,60.00,66.50,204.3
2500000,0,,80.00,63.00,67.25,255.7
3000000,0,,84.00,83.00,83.25,306.4
3500000,0,,88.00,79.00,81.25,357.0
4000000,0,,76.00,73.00,73.75,407.1
4500000,0,,88.00,75.00,78.25,457.3
5000000,0,,86.00,84.00,84.50,507.9
5500000,0,,90.00,62.00,69.00,558.0
6000000,0,,72.00,69.00,69.75,608.1
6500000,0,,86.00,82.00,83.00,658.7
7000000,0,,86.00,78.00,80.00,709.4
7500000,0,,82.00,60.00,65.50,759.9
8000000,0,,76.00,66.00,68.50,810.5
8500000,0,,90.00,75.00,78.75,861.1
9000000,0,,88.00,44.00,55.00,911.6
9500000,0,,92.00,73.00,77.75,961.9
10000000,0,,76.00,72.00,73.00,1012.2
10500000,0,,86.00,55.00,62.75,1063.0
11000000,0,,76.00,86.00,83.50,1113.3
11500000,0,,84.00,85.00,84.75,1163.7
12000000,0,,86.00,77.00,79.25,1214.1
