step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,82.00,26.00,40.00,51.3
1000000,0,,84.00,56.00,63.00,101.9
1500000,0,,88.00,25.00,40.75,153.2
2000000,0,,94.00,4.00,26.50,205.1
2500000,0,,98.00,6.00,29.00,257.2
3000000,0,,88.00,8.00,28.00,309.0
3500000,0,,88.00,0.00,22.00,361.3
4000000,0,,96.00,1.00,24.75,412.8
4500000,0,,86.00,14.00,32.00,464.6
5000000,0,,88.00,2.00,23.50,516.5
5500000,0,,96.00,0.00,24.00,568.7
6000000,0,,78.00,0.00,19.50,620.8
6500000,0,,76.00,6.00,23.50,672.8
7000000,0,,80.00,3.00,22.25,725.1
7500000,0,,82.00,0.00,20.50,777.5
8000000,0,,80.00,0.00,20.00,829.9
8500000,0,,92.00,1.00,23.75,882.3
9000000,0,,82.00,10.00,28.00,934.8
9500000,0,,92.00,1.00,23.75,986.9
10000000,0,,6.00,15.00,12.75,1039.2
10500000,0,,20.00,2.00,6.50,1091.5
11000000,0,,34.00,0.00,8.50,1144.3
11500000,0,,18.00,13.00,14.25,1196.4
12000000,0,,24.00,9.00,12.75,1248.5
