step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,88.00,79.00,81.25,51.2
1000000,0,,80.00,70.00,72.50,101.4
1500000,0,,98.00,72.00,78.50,151.6
2000000,0,,86.00,81.00,82.25,201.6
2500000,0,,92.00,80.00,83.00,251.5
3000000,0,,68.00,79.00,76.25,301.6
3500000,0,,86.00,78.00,80.00,352.3
4000000,0,,84.00,84.00,84.00,402.3
4500000,0,,82.00,85.00,84.25,452.5
5000000,0,,88.00,76.00,79.00,502.3
5500000,0,,88.00,85.00,85.75,552.9
6000000,0,,88.00,87.00,87.25,603.6
6500000,0,,94.00,75.00,79.75,653.4
7000000,0,,86.00,77.00,79.25,703.6
7500000,0,,86.00,79.00,80.75,754.1
8000000,0,,88.00,84.00,85.00,804.5
8500000,0,,84.00,81.00,81.75,854.5
9000000,0,,86.00,85.00,85.25,905.1
9500000,0,,86.00,77.00,79.25,955.4
10000000,0,,86.00,76.00,78.50,1005.5
10500000,0,,84.00,87.00,86.25,1055.7
11000000,0,,70.00,78.00,76.00,1106.6
11500000,0,,88.00,76.00,79.00,1157.5
12000000,0,,86.00,79.00,80.75,1207.9
12500000,0,,82.00,65.00,69.25,1258.1
13000000,0,,78.00,79.00,78.75,1308.7
13500000,0,,84.00,85.00,84.75,1360.0
14000000,0,,90.00,67.00,72.75,1410.6
14500000,0,,82.00,79.00,79.75,1461.2
15000000,0,,80.00,81.00,80.75,1511.8
15500000,0,,86.00,79.00,80.75,1562.6
16000000,0,,76.00,79.00,78.25,1613.3
16500000,0,,90.00,81.00,83.25,1664.0
17000000,0,,94.00,82.00,85.00,1715.0
17500000,0,,90.00,83.00,84.75,1765.8
18000000,0,,88.00,77.00,79.75,1816.5
18500000,0,,84.00,80.00,81.00,1867.3
19000000,0,,88.00,81.00,82.75,1918.2
19500000,0,,92.00,79.00,82.25,1968.8
20000000,0,,82.00,80.00,80.50,2019.2
20500000,0,,88.00,76.00,79.00,2069.7
21000000,0,,88.00,78.00,80.50,2120.3
21500000,0,,84.00,82.00,82.50,2170.8
22000000,0,,88.00,79.00,81.25,2221.1
22500000,0,,88.00,88.00,88.00,2272.4
23000000,0,,90.00,84.00,85.50,2322.7
23500000,0,,88.00,70.00,74.50,2373.1
24000000,0,,78.00,83.00,81.75,2423.4
