step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,80.00,79.00,79.25,48.7
1000000,0,,86.00,70.00,74.00,98.1
1500000,0,,86.00,69.00,73.25,147.0
2000000,0,,90.00,63.00,69.75,195.7
2500000,0,,86.00,82.00,83.00,244.6
3000000,0,,82.00,84.00,83.50,293.5
3500000,0,,86.00,79.00,80.75,342.2
4000000,0,,92.00,85.00,86.75,391.1
4500000,0,,86.00,79.00,80.75,440.1
5000000,0,,82.00,81.00,81.25,489.2
5500000,0,,86.00,78.00,80.00,538.0
6000000,0,,84.00,83.00,83.25,586.8
6500000,0,,88.00,79.00,81.25,635.5
7000000,0,,84.00,75.00,77.25,683.9
7500000,0,,84.00,83.00,83.25,732.6
8000000,0,,80.00,78.00,78.50,781.3
8500000,0,,84.00,71.00,74.25,830.0
9000000,0,,88.00,80.00,82.00,878.5
9500000,0,,86.00,88.00,87.50,927.0
10000000,0,,86.00,76.00,78.50,975.7
10500000,0,,78.00,79.00,78.75,1024.4
11000000,0,,88.00,90.00,89.50,1072.9
11500000,0,,88.00,78.00,80.50,1121.1
12000000,0,,80.00,77.00,77.75,1170.0
12500000,0,,84.00,79.00,80.25,1218.6
13000000,0,,86.00,74.00,77.00,1266.7
13500000,0,,86.00,79.00,80.75,1315.4
14000000,0,,86.00,85.00,85.25,1364.0
14500000,0,,84.00,84.00,84.00,1412.3
15000000,0,,92.00,81.00,83.75,1460.3
15500000,0,,78.00,79.00,78.75,1508.6
16000000,0,,82.00,73.00,75.25,1557.1
16500000,0,,84.00,76.00,78.00,1605.5
17000000,0,,76.00,83.00,81.25,1653.5
17500000,0,,80.00,81.00,80.75,1701.9
18000000,0,,82.00,83.00,82.75,1750.2
18500000,0,,88.00,73.00,76.75,1797.9
19000000,0,,82.00,86.00,85.00,1845.7
19500000,0,,80.00,72.00,74.00,1893.4
20000000,0,,90.00,79.00,81.75,1941.7
20500000,0,,90.00,80.00,82.50,1989.8
21000000,0,,90.00,80.00,82.50,2037.5
21500000,0,,86.00,75.00,77.75,2085.2
22000000,0,,72.00,73.00,72.75,2133.2
22500000,0,,88.00,84.00,85.00,2181.4
23000000,0,,84.00,82.00,82.50,2228.9
23500000,0,,88.00,85.00,85.75,2276.3
24000000,0,,86.00,81.00,82.25,2324.1
