step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,86.00,63.00,68.75,46.5
1000000,0,,88.00,78.00,80.50,92.7
1500000,0,,86.00,67.00,71.75,138.7
2000000,0,,88.00,82.00,83.50,184.6
2500000,0,,74.00,86.00,83.00,230.5
3000000,0,,84.00,69.00,72.75,276.3
3500000,0,,82.00,84.00,83.50,321.8
4000000,0,,80.00,83.00,82.25,367.3
4500000,0,,84.00,83.00,83.25,413.1
5000000,0,,88.00,82.00,83.50,458.8
5500000,0,,84.00,81.00,81.75,504.4
6000000,0,,90.00,68.00,73.50,550.2
6500000,0,,88.00,71.00,75.25,595.9
7000000,0,,88.00,73.00,76.75,641.8
7500000,0,,92.00,66.00,72.50,687.7
8000000,0,,84.00,81.00,81.75,733.3
8500000,0,,88.00,86.00,86.50,779.0
9000000,0,,90.00,76.00,79.50,825.0
9500000,0,,88.00,81.00,82.75,870.8
10000000,0,,82.00,65.00,69.25,916.0
10500000,0,,90.00,77.00,80.25,961.7
11000000,0,,86.00,71.00,74.75,1007.3
11500000,0,,84.00,68.00,72.00,1053.2
12000000,0,,88.00,76.00,79.00,1099.0
12500000,0,,86.00,74.00,77.00,1144.5
13000000,0,,90.00,85.00,86.25,1190.1
13500000,0,,88.00,85.00,85.75,1235.7
14000000,0,,86.00,82.00,83.00,1281.4
14500000,0,,84.00,78.00,79.50,1327.5
15000000,0,,84.00,81.00,81.75,1373.1
15500000,0,,80.00,68.00,71.00,1419.1
16000000,0,,82.00,79.00,79.75,1465.0
16500000,0,,88.00,84.00,85.00,1511.0
17000000,0,,90.00,68.00,73.50,1556.8
17500000,0,,92.00,64.00,71.00,1602.8
18000000,0,,92.00,71.00,76.25,1648.5
18500000,0,,78.00,79.00,78.75,1694.2
19000000,0,,82.00,83.00,82.75,1739.9
19500000,0,,80.00,86.00,84.50,1785.8
20000000,0,,76.00,75.00,75.25,1831.4
20500000,0,,90.00,74.00,78.00,1876.9
21000000,0,,84.00,84.00,84.00,1922.9
21500000,0,,94.00,77.00,81.25,1968.9
22000000,0,,88.00,71.00,75.25,2014.5
22500000,0,,88.00,87.00,87.25,2060.3
23000000,0,,82.00,65.00,69.25,2106.4
23500000,0,,86.00,83.00,83.75,2152.4
24000000,0,,94.00,73.00,78.25,2198.7
