step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,86.00,75.00,77.75,50.8
1000000,0,,86.00,70.00,74.00,101.0
1500000,0,,84.00,69.00,72.75,151.6
2000000,0,,86.00,74.00,77.00,202.0
2500000,0,,82.00,75.00,76.75,252.4
3000000,0,,90.00,83.00,84.75,301.8
3500000,0,,88.00,80.00,82.00,351.8
4000000,0,,88.00,83.00,84.25,401.8
4500000,0,,94.00,86.00,88.00,451.5
5000000,0,,92.00,78.00,81.50,501.0
5500000,0,,78.00,84.00,82.50,550.7
6000000,0,,80.00,83.00,82.25,600.8
6500000,0,,94.00,79.00,82.75,651.4
7000000,0,,84.00,80.00,81.00,701.8
7500000,0,,78.00,79.00,78.75,752.1
8000000,0,,94.00,82.00,85.00,802.9
8500000,0,,82.00,70.00,73.00,853.2
9000000,0,,84.00,82.00,82.50,903.1
9500000,0,,88.00,86.00,86.50,952.7
10000000,0,,92.00,78.00,81.50,1002.7
10500000,0,,88.00,79.00,81.25,1052.6
11000000,0,,80.00,80.00,80.00,1102.3
11500000,0,,80.00,84.00,83.00,1152.5
12000000,0,,86.00,77.00,79.25,1202.7
12500000,0,,84.00,80.00,81.00,1252.6
13000000,0,,78.00,74.00,75.00,1302.4
13500000,0,,86.00,75.00,77.75,1352.4
14000000,0,,86.00,78.00,80.00,1403.2
14500000,0,,88.00,82.00,83.50,1452.9
15000000,0,,84.00,83.00,83.25,1502.7
15500000,0,,86.00,78.00,80.00,1552.5
16000000,0,,90.00,76.00,79.50,1602.4
16500000,0,,88.00,79.00,81.25,1652.1
17000000,0,,96.00,80.00,84.00,1701.6
17500000,0,,88.00,80.00,82.00,1751.5
18000000,0,,86.00,84.00,84.50,1801.2
18500000,0,,82.00,76.00,77.50,1850.9
19000000,0,,90.00,83.00,84.75,1900.8
19500000,0,,86.00,76.00,78.50,1950.4
20000000,0,,90.00,80.00,82.50,2000.4
20500000,0,,92.00,88.00,89.00,2050.2
21000000,0,,86.00,79.00,80.75,2099.9
21500000,0,,78.00,63.00,66.75,2149.2
22000000,0,,84.00,64.00,69.00,2199.0
22500000,0,,84.00,82.00,82.50,2249.3
23000000,0,,78.00,72.00,73.50,2298.6
23500000,0,,84.00,89.00,87.75,2348.6
24000000,0,,90.00,82.00,84.00,2398.5
