step,wr_random,wr_regles,metric,wr_random_pool,wr_regles_pool,metric_pool,wr_pos_1,wr_pos_2,wr_pos_3,wr_pos_4,wr_pos_5,elapsed
500000,82.0000,84.0000,83.5000,89.0000,62.7778,69.3333,87.5000,55.3571,76.7857,69.6429,71.4286,51.23
1000000,80.0000,68.0000,71.0000,88.0000,73.3333,77.0000,91.0714,64.2857,83.9286,67.8571,85.7143,101.77
1500000,90.0000,79.0000,81.7500,94.0000,71.6667,77.2500,89.2857,67.8571,83.9286,73.2143,83.9286,151.42
2000000,84.0000,76.0000,78.0000,88.0000,71.1111,75.3333,91.0714,67.8571,82.1429,60.7143,83.9286,201.03
2500000,82.0000,82.0000,82.0000,93.0000,72.7778,77.8333,91.0714,69.6429,87.5000,69.6429,82.1429,250.75
3000000,90.0000,76.0000,79.5000,86.0000,71.6667,75.2500,87.5000,62.5000,85.7143,69.6429,78.5714,300.92
3500000,84.0000,60.0000,66.0000,90.0000,73.8889,77.9167,87.5000,67.8571,85.7143,71.4286,85.7143,351.21
4000000,74.0000,77.0000,76.2500,85.0000,72.2222,75.4167,87.5000,66.0714,83.9286,73.2143,73.2143,400.62
4500000,86.0000,70.0000,74.0000,88.0000,73.3333,77.0000,83.9286,67.8571,91.0714,71.4286,78.5714,450.53
5000000,88.0000,66.0000,71.5000,89.0000,73.8889,77.6667,82.1429,66.0714,85.7143,78.5714,83.9286,500.23
5500000,94.0000,65.0000,72.2500,97.0000,75.0000,80.5000,87.5000,71.4286,89.2857,82.1429,83.9286,550.26
6000000,92.0000,65.0000,71.7500,89.0000,75.0000,78.5000,82.1429,67.8571,82.1429,85.7143,82.1429,599.83
6500000,84.0000,61.0000,66.7500,85.0000,72.7778,75.8333,80.3571,60.7143,87.5000,75.0000,82.1429,650.13
7000000,92.0000,70.0000,75.5000,86.0000,73.3333,76.5000,85.7143,67.8571,83.9286,76.7857,75.0000,700.47
7500000,88.0000,65.0000,70.7500,88.0000,69.4444,74.0833,75.0000,75.0000,76.7857,69.6429,83.9286,750.78
8000000,92.0000,81.0000,83.7500,84.0000,73.8889,76.4167,82.1429,69.6429,78.5714,78.5714,78.5714,800.61
8500000,76.0000,83.0000,81.2500,91.0000,70.5556,75.6667,78.5714,69.6429,85.7143,71.4286,83.9286,850.45
9000000,84.0000,55.0000,62.2500,92.0000,69.4444,75.0833,83.9286,69.6429,78.5714,69.6429,85.7143,900.62
9500000,92.0000,84.0000,86.0000,91.0000,71.6667,76.5000,85.7143,64.2857,82.1429,76.7857,83.9286,950.43
10000000,86.0000,86.0000,86.0000,83.0000,66.6667,70.7500,75.0000,64.2857,85.7143,60.7143,76.7857,999.91
10500000,84.0000,69.0000,72.7500,88.0000,71.1111,75.3333,82.1429,69.6429,83.9286,71.4286,78.5714,1049.38
11000000,84.0000,81.0000,81.7500,87.0000,68.8889,73.4167,73.2143,66.0714,89.2857,69.6429,78.5714,1098.71
11500000,74.0000,77.0000,76.2500,91.0000,71.6667,76.5000,78.5714,69.6429,78.5714,76.7857,89.2857,1148.01
12000000,88.0000,65.0000,70.7500,91.0000,71.1111,76.0833,76.7857,75.0000,76.7857,78.5714,83.9286,1197.51
