step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,elapsed
500000,76.0000,76.0000,76.0000,60.0000,65.0000,70.0000,65.0000,65.0000,85.0000,68.3333,7.9931,64.3368,54.72
1000000,90.0000,65.0000,71.2500,60.0000,70.0000,65.0000,70.0000,65.0000,85.0000,69.1667,7.8617,65.2358,108.92
1500000,80.0000,64.0000,68.0000,60.0000,65.0000,65.0000,70.0000,65.0000,80.0000,67.5000,6.2915,64.3542,162.69
2000000,84.0000,86.0000,85.5000,65.0000,55.0000,75.0000,80.0000,65.0000,80.0000,70.0000,9.1287,65.4356,217.16
2500000,82.0000,80.0000,80.5000,70.0000,60.0000,80.0000,80.0000,55.0000,80.0000,70.8333,10.1721,65.7473,271.48
3000000,84.0000,65.0000,69.7500,65.0000,55.0000,85.0000,75.0000,55.0000,80.0000,69.1667,11.6964,63.3185,325.08
3500000,80.0000,66.0000,69.5000,70.0000,60.0000,80.0000,85.0000,55.0000,85.0000,72.5000,11.8145,66.5927,378.99
4000000,76.0000,80.0000,79.0000,70.0000,60.0000,85.0000,90.0000,70.0000,80.0000,75.8333,10.1721,70.7473,432.45
4500000,90.0000,83.0000,84.7500,75.0000,55.0000,80.0000,85.0000,65.0000,80.0000,73.3333,10.2740,68.1963,485.72
5000000,78.0000,79.0000,78.7500,65.0000,50.0000,80.0000,90.0000,60.0000,85.0000,71.6667,14.3372,64.4981,539.00
5500000,92.0000,84.0000,86.0000,85.0000,60.0000,80.0000,85.0000,65.0000,80.0000,75.8333,9.7539,70.9564,591.90
6000000,90.0000,79.0000,81.7500,80.0000,55.0000,85.0000,80.0000,70.0000,80.0000,75.0000,10.0000,70.0000,644.96
6500000,86.0000,77.0000,79.2500,85.0000,45.0000,85.0000,85.0000,60.0000,80.0000,73.3333,15.4560,65.6053,698.75
7000000,92.0000,82.0000,84.5000,80.0000,55.0000,85.0000,85.0000,60.0000,80.0000,74.1667,12.0474,68.1430,752.01
7500000,82.0000,79.0000,79.7500,75.0000,50.0000,85.0000,80.0000,65.0000,80.0000,72.5000,11.8145,66.5927,805.23
8000000,82.0000,80.0000,80.5000,80.0000,55.0000,80.0000,75.0000,70.0000,85.0000,74.1667,9.7539,69.2897,858.16
8500000,86.0000,80.0000,81.5000,85.0000,55.0000,80.0000,80.0000,70.0000,80.0000,75.0000,10.0000,70.0000,911.94
9000000,84.0000,75.0000,77.2500,75.0000,60.0000,85.0000,85.0000,65.0000,80.0000,75.0000,9.5743,70.2129,964.71
9500000,78.0000,79.0000,78.7500,80.0000,60.0000,85.0000,85.0000,70.0000,85.0000,77.5000,9.4648,72.7676,1017.51
10000000,82.0000,82.0000,82.0000,80.0000,55.0000,85.0000,80.0000,70.0000,80.0000,75.0000,10.0000,70.0000,1070.57
10500000,86.0000,85.0000,85.2500,85.0000,55.0000,80.0000,75.0000,70.0000,80.0000,74.1667,9.7539,69.2897,1123.87
