step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,wr_vs_self,exploit_selfplay,n_snapshots,elapsed
500000,82.0000,76.0000,77.5000,80.0000,65.0000,75.0000,85.0000,70.0000,85.0000,76.6667,7.4536,72.9399,nan,nan,0,64.38
1000000,92.0000,68.0000,74.0000,75.0000,60.0000,80.0000,90.0000,65.0000,90.0000,76.6667,11.4261,70.9536,40.0000,10.0000,1,127.86
1500000,82.0000,79.0000,79.7500,85.0000,60.0000,75.0000,80.0000,75.0000,85.0000,76.6667,8.4984,72.4175,40.0000,10.0000,1,191.15
2000000,86.0000,76.0000,78.5000,70.0000,70.0000,80.0000,85.0000,70.0000,85.0000,76.6667,6.8718,73.2307,55.0000,5.0000,2,254.53
2500000,84.0000,65.0000,69.7500,75.0000,60.0000,80.0000,90.0000,65.0000,90.0000,76.6667,11.4261,70.9536,55.0000,5.0000,2,318.41
3000000,82.0000,73.0000,75.2500,75.0000,55.0000,80.0000,80.0000,60.0000,85.0000,72.5000,11.0868,66.9566,56.6667,6.6667,3,381.35
3500000,78.0000,64.0000,67.5000,80.0000,60.0000,75.0000,70.0000,60.0000,90.0000,72.5000,10.7044,67.1478,53.3333,3.3333,3,444.05
4000000,80.0000,61.0000,65.7500,85.0000,65.0000,70.0000,85.0000,60.0000,95.0000,76.6667,12.4722,70.4306,56.6667,6.6667,4,506.97
4500000,86.0000,83.0000,83.7500,80.0000,65.0000,85.0000,70.0000,55.0000,90.0000,74.1667,12.0474,68.1430,53.3333,3.3333,4,570.31
5000000,88.0000,80.0000,82.0000,80.0000,65.0000,90.0000,70.0000,60.0000,85.0000,75.0000,10.8012,69.5994,63.3333,13.3333,5,634.08
5500000,86.0000,87.0000,86.7500,60.0000,55.0000,75.0000,70.0000,70.0000,90.0000,70.0000,11.1803,64.4098,60.0000,10.0000,5,697.98
6000000,88.0000,77.0000,79.7500,70.0000,65.0000,85.0000,65.0000,55.0000,85.0000,70.8333,10.9608,65.3529,60.0000,10.0000,6,761.18
6500000,86.0000,79.0000,80.7500,75.0000,70.0000,80.0000,70.0000,55.0000,80.0000,71.6667,8.4984,67.4175,56.6667,6.6667,6,824.83
7000000,84.0000,83.0000,83.2500,75.0000,60.0000,80.0000,65.0000,55.0000,80.0000,69.1667,9.7539,64.2897,50.0000,0.0000,7,887.75
7500000,84.0000,88.0000,87.0000,70.0000,60.0000,75.0000,65.0000,60.0000,95.0000,70.8333,12.0474,64.8097,60.0000,10.0000,7,951.28
8000000,82.0000,76.0000,77.5000,75.0000,65.0000,80.0000,60.0000,60.0000,90.0000,71.6667,11.0554,66.1390,60.0000,10.0000,8,1015.27
8500000,82.0000,74.0000,76.0000,80.0000,60.0000,70.0000,75.0000,55.0000,95.0000,72.5000,13.1498,65.9251,60.0000,10.0000,8,1079.47
9000000,82.0000,79.0000,79.7500,90.0000,55.0000,75.0000,90.0000,50.0000,100.0000,76.6667,18.6339,67.3497,60.0000,10.0000,9,1142.48
9500000,82.0000,82.0000,82.0000,80.0000,70.0000,85.0000,75.0000,55.0000,90.0000,75.8333,11.3346,70.1661,63.3333,13.3333,9,1205.88
10000000,82.0000,78.0000,79.0000,75.0000,60.0000,70.0000,80.0000,55.0000,85.0000,70.8333,10.5738,65.5464,60.0000,10.0000,9,1269.60
10500000,86.0000,85.0000,85.2500,80.0000,75.0000,75.0000,75.0000,50.0000,85.0000,73.3333,11.0554,67.8056,66.6667,16.6667,9,1333.50
11000000,82.0000,83.0000,82.7500,75.0000,65.0000,65.0000,75.0000,65.0000,95.0000,73.3333,10.6719,67.9974,70.0000,20.0000,9,1396.93
11500000,84.0000,70.0000,73.5000,60.0000,65.0000,80.0000,75.0000,60.0000,95.0000,72.5000,12.5000,66.2500,70.0000,20.0000,9,1460.42
12000000,76.0000,80.0000,79.0000,70.0000,70.0000,70.0000,80.0000,60.0000,85.0000,72.5000,8.0364,68.4818,66.6667,16.6667,9,1524.52
12500000,80.0000,83.0000,82.2500,75.0000,65.0000,80.0000,85.0000,65.0000,90.0000,76.6667,9.4281,71.9526,70.0000,20.0000,9,1588.30
13000000,84.0000,82.0000,82.5000,75.0000,70.0000,80.0000,80.0000,55.0000,90.0000,75.0000,10.8012,69.5994,70.0000,20.0000,9,1651.96
13500000,86.0000,77.0000,79.2500,70.0000,70.0000,80.0000,90.0000,50.0000,90.0000,75.0000,13.8444,68.0778,66.6667,16.6667,9,1715.76
14000000,80.0000,83.0000,82.2500,60.0000,60.0000,80.0000,70.0000,75.0000,90.0000,72.5000,10.7044,67.1478,63.3333,13.3333,9,1779.19
14500000,80.0000,77.0000,77.7500,65.0000,70.0000,70.0000,90.0000,55.0000,85.0000,72.5000,11.8145,66.5927,60.0000,10.0000,9,1843.08
15000000,86.0000,79.0000,80.7500,65.0000,70.0000,75.0000,85.0000,65.0000,90.0000,75.0000,9.5743,70.2129,56.6667,6.6667,9,1906.51
15500000,92.0000,74.0000,78.5000,65.0000,50.0000,80.0000,80.0000,70.0000,95.0000,73.3333,14.0436,66.3115,53.3333,3.3333,9,1969.53
16000000,78.0000,73.0000,74.2500,75.0000,70.0000,80.0000,90.0000,55.0000,90.0000,76.6667,12.1335,70.5999,63.3333,13.3333,9,2033.19
16500000,78.0000,80.0000,79.5000,65.0000,65.0000,75.0000,80.0000,55.0000,95.0000,72.5000,12.8290,66.0855,56.6667,6.6667,9,2096.07
17000000,96.0000,66.0000,73.5000,70.0000,65.0000,80.0000,85.0000,45.0000,90.0000,72.5000,14.9304,65.0348,56.6667,6.6667,9,2159.86
17500000,82.0000,85.0000,84.2500,65.0000,65.0000,80.0000,80.0000,60.0000,80.0000,71.6667,8.4984,67.4175,66.6667,16.6667,9,2223.90
