step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,wr_vs_self,exploit_selfplay,sl_loss,wr_vs_sl,exploit_vs_sl,eta_actual,n_snapshots,elapsed
20000000,86.0000,81.0000,82.2500,60.0000,60.0000,75.0000,85.0000,75.0000,90.0000,74.1667,11.3346,68.4994,46.6667,3.3333,1.7433,40.0000,10.0000,0.5000,9,47853.16
500000,78.0000,78.0000,78.0000,55.0000,65.0000,80.0000,75.0000,65.0000,95.0000,72.5000,12.8290,66.0855,nan,nan,1.9372,73.3333,23.3333,0.5000,0,1199.93
20500000,90.0000,80.0000,82.5000,70.0000,70.0000,85.0000,80.0000,65.0000,90.0000,76.6667,8.9753,72.1790,50.0000,0.0000,1.7361,40.0000,10.0000,0.5000,9,49056.40
1000000,84.0000,83.0000,83.2500,55.0000,65.0000,85.0000,85.0000,65.0000,85.0000,73.3333,12.1335,67.2666,50.0000,0.0000,1.8769,46.6667,3.3333,0.5000,1,2399.10
21000000,82.0000,78.0000,79.0000,65.0000,60.0000,75.0000,70.0000,70.0000,75.0000,69.1667,5.3359,66.4987,50.0000,0.0000,1.7400,73.3333,23.3333,0.5000,9,50260.97
1500000,80.0000,79.0000,79.2500,45.0000,65.0000,80.0000,75.0000,65.0000,80.0000,68.3333,12.1335,62.2666,50.0000,0.0000,1.8584,73.3333,23.3333,0.5000,1,3609.13
21500000,94.0000,78.0000,82.0000,65.0000,60.0000,80.0000,80.0000,70.0000,75.0000,71.6667,7.4536,67.9399,50.0000,0.0000,1.7448,33.3333,16.6667,0.5000,9,51479.91
2000000,86.0000,69.0000,73.2500,55.0000,55.0000,85.0000,85.0000,70.0000,95.0000,74.1667,15.3885,66.4724,45.0000,5.0000,1.8422,40.0000,10.0000,0.5000,2,4815.57
22000000,80.0000,79.0000,79.2500,65.0000,60.0000,70.0000,70.0000,70.0000,85.0000,70.0000,7.6376,66.1812,60.0000,10.0000,1.7305,60.0000,10.0000,0.5000,9,52687.28
2500000,84.0000,85.0000,84.7500,65.0000,70.0000,75.0000,80.0000,65.0000,95.0000,75.0000,10.4083,69.7958,50.0000,0.0000,1.8308,40.0000,10.0000,0.5000,2,6018.85
22500000,90.0000,81.0000,83.2500,65.0000,50.0000,80.0000,80.0000,60.0000,100.0000,72.5000,16.2660,64.3670,63.3333,13.3333,1.7424,46.6667,3.3333,0.5000,9,53891.92
3000000,84.0000,77.0000,78.7500,60.0000,70.0000,75.0000,80.0000,70.0000,90.0000,74.1667,9.3169,69.5082,56.6667,6.6667,1.8126,60.0000,10.0000,0.5000,3,7221.45
23000000,82.0000,73.0000,75.2500,65.0000,55.0000,60.0000,75.0000,65.0000,90.0000,68.3333,11.4261,62.6203,63.3333,13.3333,1.7353,46.6667,3.3333,0.5000,9,55098.36
3500000,80.0000,74.0000,75.5000,65.0000,65.0000,80.0000,75.0000,75.0000,95.0000,75.8333,10.1721,70.7473,53.3333,3.3333,1.8042,40.0000,10.0000,0.5000,3,8424.20
23500000,86.0000,77.0000,79.2500,50.0000,65.0000,75.0000,75.0000,65.0000,90.0000,70.0000,12.2474,63.8763,63.3333,13.3333,1.7321,60.0000,10.0000,0.5000,9,56304.23
4000000,86.0000,75.0000,77.7500,40.0000,70.0000,70.0000,75.0000,65.0000,95.0000,69.1667,16.1804,61.0765,60.0000,10.0000,1.8052,66.6667,16.6667,0.5000,4,9628.47
24000000,90.0000,79.0000,81.7500,55.0000,60.0000,70.0000,85.0000,70.0000,90.0000,71.6667,12.4722,65.4306,63.3333,13.3333,1.7370,33.3333,16.6667,0.5000,9,57510.05
4500000,84.0000,80.0000,81.0000,60.0000,75.0000,75.0000,70.0000,75.0000,85.0000,73.3333,7.4536,69.6066,60.0000,10.0000,1.8094,73.3333,23.3333,0.5000,4,10841.82
24500000,82.0000,79.0000,79.7500,60.0000,65.0000,70.0000,70.0000,65.0000,95.0000,70.8333,11.3346,65.1661,56.6667,6.6667,1.7341,73.3333,23.3333,0.5000,9,58732.70
5000000,82.0000,80.0000,80.5000,70.0000,60.0000,70.0000,75.0000,80.0000,100.0000,75.8333,12.3884,69.6391,53.3333,3.3333,1.7951,66.6667,16.6667,0.5000,5,12052.39
25000000,84.0000,82.0000,82.5000,50.0000,70.0000,80.0000,80.0000,70.0000,95.0000,74.1667,13.6677,67.3328,66.6667,16.6667,1.7297,73.3333,23.3333,0.5000,9,59943.57
5500000,78.0000,85.0000,83.2500,65.0000,70.0000,85.0000,75.0000,60.0000,90.0000,74.1667,10.5738,68.8798,53.3333,3.3333,1.7759,66.6667,16.6667,0.5000,5,13257.02
25500000,90.0000,79.0000,81.7500,60.0000,65.0000,70.0000,70.0000,70.0000,85.0000,70.0000,7.6376,66.1812,63.3333,13.3333,1.7404,73.3333,23.3333,0.5000,9,61149.34
6000000,88.0000,77.0000,79.7500,85.0000,70.0000,80.0000,85.0000,65.0000,95.0000,80.0000,10.0000,75.0000,53.3333,3.3333,1.7925,60.0000,10.0000,0.5000,6,14459.73
26000000,90.0000,89.0000,89.2500,50.0000,70.0000,85.0000,85.0000,75.0000,100.0000,77.5000,15.4785,69.7608,63.3333,13.3333,1.7309,80.0000,30.0000,0.5000,9,62353.93
6500000,86.0000,77.0000,79.2500,50.0000,70.0000,80.0000,70.0000,70.0000,85.0000,70.8333,10.9608,65.3529,60.0000,10.0000,1.7786,46.6667,3.3333,0.5000,6,15662.78
26500000,90.0000,79.0000,81.7500,65.0000,75.0000,80.0000,85.0000,70.0000,85.0000,76.6667,7.4536,72.9399,60.0000,10.0000,1.7240,60.0000,10.0000,0.5000,9,63559.06
7000000,84.0000,85.0000,84.7500,65.0000,65.0000,80.0000,75.0000,75.0000,80.0000,73.3333,6.2361,70.2153,56.6667,6.6667,1.7762,73.3333,23.3333,0.5000,7,16866.47
27000000,84.0000,73.0000,75.7500,60.0000,75.0000,85.0000,80.0000,75.0000,85.0000,76.6667,8.4984,72.4175,60.0000,10.0000,1.7346,60.0000,10.0000,0.5000,9,64767.09
7500000,82.0000,76.0000,77.5000,75.0000,55.0000,75.0000,75.0000,75.0000,90.0000,74.1667,10.1721,69.0806,53.3333,3.3333,1.7713,66.6667,16.6667,0.5000,7,18074.76
