step,wr_random,wr_regles,metric,wr_conservador,wr_agressiu,wr_truc_bot,wr_envit_bot,wr_faroler,wr_equilibrat,wr_pool_mean,std_pool,metric_robust,wr_vs_self,exploit_selfplay,sl_loss,wr_vs_sl,exploit_vs_sl,eta_actual,n_snapshots,elapsed
500004,86.0000,82.0000,83.0000,55.0000,35.0000,35.0000,70.0000,30.0000,65.0000,48.3333,15.7233,40.4717,nan,nan,0.9624,51.6667,1.6667,0.5000,0,1606.05
1000008,86.0000,71.0000,74.7500,55.0000,40.0000,40.0000,70.0000,40.0000,65.0000,51.6667,12.4722,45.4306,30.0000,20.0000,1.2340,48.3333,1.6667,0.5000,1,3219.87
1500012,88.0000,85.0000,85.7500,55.0000,40.0000,50.0000,30.0000,40.0000,60.0000,45.8333,10.1721,40.7473,30.0000,20.0000,1.4254,21.6667,28.3333,0.5000,1,4832.16
2000016,94.0000,84.0000,86.5000,55.0000,40.0000,50.0000,50.0000,35.0000,55.0000,47.5000,7.5000,43.7500,45.0000,5.0000,1.4939,36.6667,13.3333,0.5000,2,6443.44
2500020,88.0000,81.0000,82.7500,75.0000,50.0000,65.0000,70.0000,60.0000,80.0000,66.6667,9.8601,61.7366,35.0000,15.0000,1.5395,38.3333,11.6667,0.5000,2,8046.69
3000024,96.0000,79.0000,83.2500,75.0000,45.0000,65.0000,70.0000,65.0000,85.0000,67.5000,12.1621,61.4190,43.3333,6.6667,1.5565,51.6667,1.6667,0.5000,3,9650.89
3500028,88.0000,77.0000,79.7500,60.0000,55.0000,60.0000,60.0000,70.0000,85.0000,65.0000,10.0000,60.0000,50.0000,0.0000,1.5625,45.0000,5.0000,0.5000,3,11245.60
4000032,84.0000,80.0000,81.0000,65.0000,55.0000,65.0000,55.0000,65.0000,75.0000,63.3333,6.8718,59.8974,60.0000,10.0000,1.5712,56.6667,6.6667,0.5000,4,12838.86
4500036,84.0000,84.0000,84.0000,80.0000,55.0000,60.0000,70.0000,60.0000,80.0000,67.5000,9.8953,62.5524,56.6667,6.6667,1.6006,51.6667,1.6667,0.5000,4,14424.15
5000040,98.0000,80.0000,84.5000,80.0000,55.0000,80.0000,55.0000,60.0000,85.0000,69.1667,12.7203,62.8065,63.3333,13.3333,1.6044,66.6667,16.6667,0.5000,5,16017.30
5500044,92.0000,79.0000,82.2500,85.0000,55.0000,75.0000,45.0000,60.0000,80.0000,66.6667,14.3372,59.4981,70.0000,20.0000,1.5998,56.6667,6.6667,0.5000,5,17610.69
6000048,92.0000,78.0000,81.5000,70.0000,45.0000,70.0000,60.0000,60.0000,85.0000,65.0000,12.2474,58.8763,50.0000,0.0000,1.6089,56.6667,6.6667,0.5000,6,19203.75
6500052,86.0000,75.0000,77.7500,70.0000,45.0000,65.0000,55.0000,60.0000,65.0000,60.0000,8.1650,55.9175,50.0000,0.0000,1.6090,63.3333,13.3333,0.5000,6,20793.99
7000056,92.0000,76.0000,80.0000,80.0000,55.0000,75.0000,65.0000,50.0000,85.0000,68.3333,12.8019,61.9324,66.6667,16.6667,1.5997,58.3333,8.3333,0.5000,7,22394.60
7500060,92.0000,88.0000,89.0000,85.0000,50.0000,75.0000,75.0000,55.0000,85.0000,70.8333,13.6677,63.9995,60.0000,10.0000,1.6031,53.3333,3.3333,0.5000,7,23997.51
8000064,90.0000,81.0000,83.2500,80.0000,55.0000,70.0000,65.0000,55.0000,85.0000,68.3333,11.4261,62.6203,63.3333,13.3333,1.6134,53.3333,3.3333,0.5000,8,25600.73
8500068,92.0000,77.0000,80.7500,80.0000,55.0000,70.0000,80.0000,55.0000,85.0000,70.8333,12.0474,64.8097,63.3333,13.3333,1.5961,58.3333,8.3333,0.5000,8,27197.14
9000072,86.0000,84.0000,84.5000,75.0000,55.0000,75.0000,65.0000,60.0000,80.0000,68.3333,8.9753,63.8457,53.3333,3.3333,1.5842,60.0000,10.0000,0.5000,9,28801.09
9500076,82.0000,80.0000,80.5000,85.0000,60.0000,75.0000,65.0000,60.0000,85.0000,71.6667,10.6719,66.3307,50.0000,0.0000,1.5793,63.3333,13.3333,0.5000,9,30405.59
10000080,88.0000,78.0000,80.5000,75.0000,55.0000,80.0000,65.0000,60.0000,75.0000,68.3333,8.9753,63.8457,60.0000,10.0000,1.5822,48.3333,1.6667,0.5000,9,32011.40
10500084,94.0000,79.0000,82.7500,80.0000,60.0000,75.0000,55.0000,55.0000,80.0000,67.5000,11.0868,61.9566,63.3333,13.3333,1.5803,48.3333,1.6667,0.5000,9,33610.07
11000088,92.0000,84.0000,86.0000,80.0000,55.0000,75.0000,75.0000,60.0000,80.0000,70.8333,9.7539,65.9564,66.6667,16.6667,1.5760,58.3333,8.3333,0.5000,9,35220.92
11500092,92.0000,83.0000,85.2500,70.0000,60.0000,75.0000,55.0000,60.0000,85.0000,67.5000,10.3078,62.3461,60.0000,10.0000,1.5794,66.6667,16.6667,0.5000,9,36825.43
12000096,94.0000,75.0000,79.7500,85.0000,55.0000,70.0000,60.0000,60.0000,80.0000,68.3333,11.0554,62.8056,63.3333,13.3333,1.5709,66.6667,16.6667,0.5000,9,38428.79
